MSOA Code,Fatal,Serious,Slight,2011 Total
E02000425,1,5,18,24
E02000426,1,3,19,23
E02000427,0,4,28,32
E02000428,0,3,24,27
E02000429,0,0,9,9
E02000430,0,3,16,19
E02000431,0,2,11,13
E02000432,0,2,5,7
E02006794,0,5,38,43
E02000433,0,3,27,30
E02000434,0,2,24,26
E02000435,0,0,3,3
E02000436,1,3,27,31
E02000437,0,1,11,12
E02000438,0,0,13,13
E02000439,0,4,32,36
E02000440,0,0,15,15
E02000441,0,1,16,17
E02000442,1,2,7,10
E02000443,0,0,15,15
E02000444,0,0,21,21
E02000445,1,2,19,22
E02000447,0,1,14,15
E02000448,0,2,9,11
E02000449,0,2,11,13
E02000451,0,0,10,10
E02000452,0,2,16,18
E02000453,0,1,8,9
E02000454,0,0,1,1
E02000455,0,2,30,32
E02000456,0,1,9,10
E02000457,0,1,6,7
E02000459,0,2,15,17
E02000460,0,1,8,9
E02000461,0,2,28,30
E02000462,0,4,10,14
E02000463,0,0,8,8
E02006795,0,1,10,11
E02006882,0,2,13,15
E02000464,1,4,12,17
E02000465,0,2,30,32
E02000466,1,3,17,21
E02000467,0,0,10,10
E02000468,0,0,6,6
E02000469,0,3,32,35
E02000470,0,7,54,61
E02000471,0,1,10,11
E02000472,1,3,29,33
E02000473,0,5,34,39
E02000474,0,1,27,28
E02000475,0,1,29,30
E02000476,0,5,52,57
E02000477,0,2,11,13
E02000478,0,1,7,8
E02000479,1,1,43,45
E02000480,0,3,38,41
E02000481,0,6,58,64
E02000482,1,0,17,18
E02000483,0,4,22,26
E02000484,0,4,6,10
E02000485,0,1,11,12
E02000486,0,0,10,10
E02000487,0,0,17,17
E02000488,1,1,7,9
E02000489,0,0,8,8
E02000490,0,0,20,20
E02000491,0,2,52,54
E02000492,2,5,50,57
E02000493,0,1,15,16
E02000494,0,4,9,13
E02000495,0,3,16,19
E02000496,0,2,18,20
E02000497,0,1,17,18
E02000498,0,1,6,7
E02000499,0,1,8,9
E02000500,0,7,36,43
E02000501,0,0,15,15
E02000502,0,1,11,12
E02000503,0,0,7,7
E02000504,0,1,11,12
E02000506,0,4,26,30
E02000507,1,1,14,16
E02000508,0,1,35,36
E02000509,0,2,40,42
E02000510,1,2,43,46
E02000511,0,2,14,16
E02000512,0,3,9,12
E02000513,0,3,28,31
E02000514,0,1,17,18
E02000515,1,1,24,26
E02000516,0,5,22,27
E02000517,0,1,35,36
E02000518,0,0,14,14
E02000519,0,3,61,64
E02000520,0,2,48,50
E02000521,0,1,21,22
E02000522,0,0,17,17
E02000523,0,4,30,34
E02000524,4,6,121,131
E02000525,0,3,50,53
E02006796,0,1,47,48
E02000526,1,1,37,39
E02000528,1,6,54,61
E02000529,0,2,19,21
E02000530,0,2,89,91
E02000531,0,4,68,72
E02000532,0,1,34,35
E02000533,0,4,17,21
E02000534,3,2,35,40
E02000535,0,0,15,15
E02000536,0,3,41,44
E02000537,0,1,18,19
E02000538,0,3,57,60
E02000539,0,2,38,40
E02000540,0,4,28,32
E02000541,0,3,25,28
E02000542,0,0,38,38
E02000543,0,4,39,43
E02000544,0,0,13,13
E02000545,0,2,5,7
E02000546,0,0,16,16
E02000547,0,1,15,16
E02000548,0,3,29,32
E02000549,2,2,41,45
E02000550,0,2,13,15
E02000551,0,3,51,54
E02000552,0,4,15,19
E02000553,0,2,13,15
E02006792,0,5,61,66
E02000554,1,1,20,22
E02000555,0,0,14,14
E02000556,0,2,22,24
E02000557,0,7,38,45
E02000558,0,5,50,55
E02000559,0,2,27,29
E02000560,0,6,63,69
E02000561,0,3,23,26
E02000562,0,0,24,24
E02000563,0,6,42,48
E02000564,1,8,64,73
E02000565,1,3,18,22
E02000566,0,7,47,54
E02000567,1,2,26,29
E02000568,0,2,17,19
E02000569,0,5,57,62
E02000570,0,1,23,24
E02000571,0,5,25,30
E02000572,0,6,26,32
E02000573,0,3,59,62
E02000574,0,9,43,52
E02000575,0,11,74,85
E02000576,0,11,75,86
E02000577,1,5,27,33
E02000578,0,0,15,15
E02000579,0,3,63,66
E02000580,0,3,17,20
E02000581,2,1,8,11
E02000582,0,5,29,34
E02000583,0,7,26,33
E02000584,0,4,32,36
E02000585,0,6,42,48
E02000586,0,1,28,29
E02000587,0,4,43,47
E02000588,0,8,56,64
E02000589,1,2,34,37
E02000590,0,2,37,39
E02000591,2,5,29,36
E02000592,0,3,42,45
E02000593,0,4,40,44
E02000594,0,7,39,46
E02000595,0,7,40,47
E02000596,0,2,37,39
E02000597,0,5,89,94
E02000598,0,1,7,8
E02000599,0,2,25,27
E02000600,0,1,24,25
E02000601,0,0,6,6
E02000602,1,4,27,32
E02000603,0,3,17,20
E02000604,0,1,19,20
E02000605,0,3,25,28
E02000606,0,7,44,51
E02000607,0,2,4,6
E02000608,0,3,29,32
E02000609,0,3,31,34
E02000610,0,2,13,15
E02000611,0,0,11,11
E02000612,0,0,14,14
E02000613,0,0,21,21
E02000614,0,6,26,32
E02000615,0,2,22,24
E02000616,0,1,11,12
E02000617,1,1,23,25
E02000619,2,4,13,19
E02000620,0,5,45,50
E02000621,0,11,58,69
E02000622,0,10,91,101
E02000623,0,4,17,21
E02000624,0,5,43,48
E02000625,1,9,36,46
E02000626,0,7,12,19
E02000627,0,4,17,21
E02000628,0,3,49,52
E02000629,0,4,36,40
E02000630,1,5,27,33
E02000631,1,7,46,54
E02000632,0,7,31,38
E02000633,1,6,54,61
E02000634,0,7,28,35
E02000635,0,5,37,42
E02000636,0,4,22,26
E02000637,0,1,29,30
E02000638,0,4,33,37
E02000639,0,5,42,47
E02000640,1,1,15,17
E02000641,0,2,16,18
E02000642,0,3,29,32
E02000643,0,1,17,18
E02000644,1,3,16,20
E02000645,0,2,26,28
E02000646,1,3,39,43
E02000647,0,2,10,12
E02000648,0,1,11,12
E02000649,0,2,59,61
E02000650,0,2,14,16
E02000651,0,3,45,48
E02000652,1,1,10,12
E02006801,1,21,79,101
E02000653,0,2,21,23
E02000654,0,4,29,33
E02000655,1,1,18,20
E02000657,0,5,92,97
E02000658,0,5,37,42
E02000659,0,1,13,14
E02000660,0,4,16,20
E02000661,0,6,32,38
E02000662,0,3,12,15
E02000663,0,3,32,35
E02000664,1,9,93,103
E02000665,0,2,30,32
E02000666,0,1,19,20
E02000667,0,2,10,12
E02000668,0,0,12,12
E02000669,0,0,12,12
E02000670,0,2,16,18
E02000671,0,2,4,6
E02000672,0,7,79,86
E02000673,0,0,19,19
E02000674,0,2,36,38
E02000675,0,3,13,16
E02000676,0,2,21,23
E02000677,0,4,20,24
E02000678,0,2,8,10
E02000679,0,0,19,19
E02000680,0,1,7,8
E02000681,0,1,20,21
E02000682,0,0,36,36
E02000683,0,2,20,22
E02000685,0,5,18,23
E02000686,0,5,30,35
E02000687,0,2,14,16
E02006783,0,4,29,33
E02006784,0,4,28,32
E02006798,0,0,39,39
E02000689,0,2,13,15
E02000690,0,3,15,18
E02000691,0,1,13,14
E02000692,0,6,24,30
E02000693,0,1,25,26
E02000694,0,1,21,22
E02000695,0,1,7,8
E02000696,0,3,14,17
E02000697,0,5,39,44
E02000698,0,2,4,6
E02000699,0,1,9,10
E02000700,0,1,18,19
E02000701,0,0,28,28
E02000702,0,1,21,22
E02000703,0,1,15,16
E02000704,0,4,27,31
E02000705,1,0,7,8
E02000706,0,4,29,33
E02000707,0,0,10,10
E02000708,0,0,18,18
E02000709,0,0,9,9
E02000710,0,6,65,71
E02000711,0,1,30,31
E02000712,0,2,15,17
E02000713,0,0,5,5
E02000714,0,2,8,10
E02000715,0,3,27,30
E02000716,0,2,25,27
E02000717,1,0,28,29
E02000718,0,2,12,14
E02000719,0,0,14,14
E02000720,0,0,8,8
E02000721,1,3,30,34
E02000722,0,2,22,24
E02000723,0,0,27,27
E02000724,1,3,8,12
E02000725,0,3,48,51
E02000726,0,4,44,48
E02000727,0,1,5,6
E02000728,0,0,11,11
E02000729,0,1,22,23
E02000730,0,3,20,23
E02000731,0,2,36,38
E02000732,0,0,13,13
E02000733,0,0,15,15
E02000734,0,1,7,8
E02000735,0,1,15,16
E02000736,0,2,67,69
E02000737,0,3,26,29
E02000738,0,1,12,13
E02000739,0,4,23,27
E02000740,0,0,15,15
E02000741,0,3,29,32
E02000742,0,1,26,27
E02000743,0,6,19,25
E02000744,0,4,32,36
E02000745,0,1,7,8
E02000746,0,7,51,58
E02000747,0,1,34,35
E02000748,0,2,11,13
E02000749,0,1,27,28
E02000750,0,3,13,16
E02000751,0,5,32,37
E02000752,0,0,20,20
E02000753,0,0,2,2
E02000754,0,1,6,7
E02000755,0,1,25,26
E02000756,0,2,28,30
E02000757,0,5,37,42
E02000758,0,1,5,6
E02000759,0,6,60,66
E02000760,0,2,17,19
E02000762,0,2,12,14
E02000763,1,5,35,41
E02000764,0,1,26,27
E02000765,0,0,15,15
E02000767,0,1,27,28
E02000768,0,0,20,20
E02000769,0,5,25,30
E02000770,0,3,11,14
E02000772,0,5,31,36
E02000773,0,0,44,44
E02000774,0,0,10,10
E02000776,0,1,14,15
E02000777,0,2,22,24
E02000779,0,3,36,39
E02000780,0,2,75,77
E02000781,0,2,21,23
E02000782,0,4,57,61
E02000783,0,4,16,20
E02006800,0,2,34,36
E02006924,0,4,60,64
E02006925,1,4,52,57
E02000784,0,3,13,16
E02000785,0,5,26,31
E02000786,0,3,23,26
E02000787,0,3,24,27
E02000788,0,5,14,19
E02000789,0,2,16,18
E02000790,0,3,11,14
E02000791,1,6,36,43
E02000792,0,1,14,15
E02000793,0,4,17,21
E02000794,1,3,32,36
E02000795,0,5,20,25
E02000796,0,2,16,18
E02000797,0,7,29,36
E02000798,0,2,21,23
E02000799,0,0,7,7
E02000800,0,1,5,6
E02000801,0,0,8,8
E02000802,0,2,16,18
E02000803,0,0,16,16
E02000804,0,2,11,13
E02000805,0,2,16,18
E02000806,0,5,43,48
E02000807,0,0,4,4
E02000808,1,13,69,83
E02000809,1,4,49,54
E02000810,0,3,16,19
E02000812,1,3,34,38
E02000813,0,1,54,55
E02000814,0,0,2,2
E02000815,1,4,30,35
E02000816,0,4,20,24
E02000817,0,3,12,15
E02000818,0,4,54,58
E02000819,0,1,11,12
E02000820,0,4,30,34
E02000821,0,7,44,51
E02000822,0,2,14,16
E02000823,0,2,21,23
