Code,Area,Year,Measure,Value
E02000902,Waltham Forest 008,Year ending Dec 2011,Mean,238363
E02000903,Waltham Forest 009,Year ending Dec 2011,Mean,202934
E02000904,Waltham Forest 010,Year ending Dec 2011,Mean,246889
E02000905,Waltham Forest 011,Year ending Dec 2011,Mean,229159
E02000906,Waltham Forest 012,Year ending Dec 2011,Mean,208575
E02000907,Waltham Forest 013,Year ending Dec 2011,Mean,220910
E02000908,Waltham Forest 014,Year ending Dec 2011,Mean,190670
E02000909,Waltham Forest 015,Year ending Dec 2011,Mean,292114
E02000910,Waltham Forest 016,Year ending Dec 2011,Mean,249969
E02000911,Waltham Forest 017,Year ending Dec 2011,Mean,232035
E02000912,Waltham Forest 018,Year ending Dec 2011,Mean,220032
E02000913,Waltham Forest 019,Year ending Dec 2011,Mean,275696
E02000914,Waltham Forest 020,Year ending Dec 2011,Mean,227626
E02000915,Waltham Forest 021,Year ending Dec 2011,Mean,293330
E02000916,Waltham Forest 022,Year ending Dec 2011,Mean,190270
E02000917,Waltham Forest 023,Year ending Dec 2011,Mean,199684
E02000918,Waltham Forest 024,Year ending Dec 2011,Mean,244701
E02000919,Waltham Forest 025,Year ending Dec 2011,Mean,223544
E02000920,Waltham Forest 026,Year ending Dec 2011,Mean,192944
E02000921,Waltham Forest 027,Year ending Dec 2011,Mean,220989
E02000922,Waltham Forest 028,Year ending Dec 2011,Mean,209412
E02000923,Wandsworth 001,Year ending Dec 2011,Mean,795461
E02000924,Wandsworth 002,Year ending Dec 2011,Mean,434645
E02000925,Wandsworth 003,Year ending Dec 2011,Mean,516552
E02000926,Wandsworth 004,Year ending Dec 2011,Mean,527012
E02000927,Wandsworth 005,Year ending Dec 2011,Mean,420019
E02000928,Wandsworth 006,Year ending Dec 2011,Mean,752223
E02000929,Wandsworth 007,Year ending Dec 2011,Mean,231515
E02000930,Wandsworth 008,Year ending Dec 2011,Mean,470293
E02000931,Wandsworth 009,Year ending Dec 2011,Mean,632055
E02000932,Wandsworth 010,Year ending Dec 2011,Mean,517440
E02000933,Wandsworth 011,Year ending Dec 2011,Mean,648843
E02000934,Wandsworth 012,Year ending Dec 2011,Mean,498268
E02000935,Wandsworth 013,Year ending Dec 2011,Mean,470115
E02000936,Wandsworth 014,Year ending Dec 2011,Mean,471219
E02000937,Wandsworth 015,Year ending Dec 2011,Mean,747111
E02000938,Wandsworth 016,Year ending Dec 2011,Mean,438152
E02000939,Wandsworth 017,Year ending Dec 2011,Mean,976978
E02000940,Wandsworth 018,Year ending Dec 2011,Mean,316860
E02000941,Wandsworth 019,Year ending Dec 2011,Mean,614610
E02000942,Wandsworth 020,Year ending Dec 2011,Mean,571386
E02000943,Wandsworth 021,Year ending Dec 2011,Mean,627266
E02000944,Wandsworth 022,Year ending Dec 2011,Mean,325427
E02000945,Wandsworth 023,Year ending Dec 2011,Mean,278455
E02000946,Wandsworth 024,Year ending Dec 2011,Mean,413566
E02000947,Wandsworth 025,Year ending Dec 2011,Mean,450601
E02000948,Wandsworth 026,Year ending Dec 2011,Mean,419058
E02000949,Wandsworth 027,Year ending Dec 2011,Mean,629520
E02000950,Wandsworth 028,Year ending Dec 2011,Mean,462950
E02000951,Wandsworth 029,Year ending Dec 2011,Mean,416286
E02000952,Wandsworth 030,Year ending Dec 2011,Mean,532217
E02000953,Wandsworth 031,Year ending Dec 2011,Mean,388858
E02000954,Wandsworth 032,Year ending Dec 2011,Mean,373262
E02000955,Wandsworth 033,Year ending Dec 2011,Mean,319384
E02000956,Wandsworth 034,Year ending Dec 2011,Mean,294351
E02000957,Wandsworth 035,Year ending Dec 2011,Mean,281725
E02000958,Wandsworth 036,Year ending Dec 2011,Mean,363567
E02000959,Wandsworth 037,Year ending Dec 2011,Mean,253218
E02000960,Westminster 001,Year ending Dec 2011,Mean,1245217
E02000961,Westminster 002,Year ending Dec 2011,Mean,1303346
E02000962,Westminster 003,Year ending Dec 2011,Mean,785764
E02000963,Westminster 004,Year ending Dec 2011,Mean,419532
E02000964,Westminster 005,Year ending Dec 2011,Mean,367593
E02000965,Westminster 006,Year ending Dec 2011,Mean,547410
E02000966,Westminster 007,Year ending Dec 2011,Mean,861988
E02000967,Westminster 008,Year ending Dec 2011,Mean,856499
E02000968,Westminster 009,Year ending Dec 2011,Mean,415534
E02000969,Westminster 010,Year ending Dec 2011,Mean,423615
E02000970,Westminster 011,Year ending Dec 2011,Mean,1348664
E02000971,Westminster 012,Year ending Dec 2011,Mean,870948
E02000972,Westminster 013,Year ending Dec 2011,Mean,1051108
E02000973,Westminster 014,Year ending Dec 2011,Mean,999860
E02000974,Westminster 015,Year ending Dec 2011,Mean,922223
E02000975,Westminster 016,Year ending Dec 2011,Mean,962284
E02000976,Westminster 017,Year ending Dec 2011,Mean,699081
E02000977,Westminster 018,Year ending Dec 2011,Mean,1267820
E02000978,Westminster 019,Year ending Dec 2011,Mean,2603412
E02000979,Westminster 020,Year ending Dec 2011,Mean,1035122
E02000980,Westminster 021,Year ending Dec 2011,Mean,636388
E02000981,Westminster 022,Year ending Dec 2011,Mean,814260
E02000982,Westminster 023,Year ending Dec 2011,Mean,827082
E02000983,Westminster 024,Year ending Dec 2011,Mean,703038
